 ,CODIGO,NOMBRE,PRECIO MERCADO LIBRE,PRECIO MERCADO,VENTA ELEVAPARTES,ESTADO,NOTIFICACION ENVIADA,ADVERTENCIA STOCK,MINIMO STOCK,ENTRADA,SALIDA,STOCK,marzo 2023,abril 2023,mayo 2023,junio 2023,julio 2023,agosto 2023,septiembre 2023,octubre 2023,noviembre 2023,diciembre 2023,enero 2024,febrero 2024,marzo 2024,abril 2024,mayo 2024,junio 2024,julio 2024,agosto 2024,septiembre 2024,octubre 2024,noviembre 2024,diciembre 2024,enero 2025,febrero 2025,marzo 2025,abril 2025,mayo 2025,junio 2025,julio 2025,agosto 2025,septiembre 2025,octubre 2025,noviembre 2025,diciembre 2025
1,IMP2S37RA,IMP2S37RA,"$85,18","$75,00","$70,70",ALERTA-W,SI,20,10,100,84,16,"$640,00","$140,00","$0,00","$225,00","$600,00","$300,00","$0,00","$295,00","$215,00","$500,00","$0,00","$0,00","$0,00","$75,00","$75,00","$300,00","$150,00","$0,00","$900,00","$0,00","$75,00","$1.050,00","$0,00","$150,00","$0,00","$150,00","$0,00","$0,00","$0,00","$0,00","$0,00","$375,00","$0,00","$0,00"
2,I7S14,Display 2D 14mm,"$36,20","$30,00","$30,05",OK,SI,5,4,40,27,13,"$64,00","$30,00","$120,00","$90,00","$0,00","$0,00","$0,00","$0,00","$0,00","$30,00","$0,00","$30,00","$0,00","$0,00","$0,00","$30,00","$30,00","$0,00","$0,00","$30,00","$0,00","$30,00","$0,00","$0,00","$0,00","$30,00","$30,00","$240,00","$30,00","$0,00","$0,00","$0,00","$0,00","$0,00"
3,I7S25,Display 2D 25mm,"$42,05","$35,00","$34,90",ALERTA-W,SI,38,4,350,342,8,"$0,00","$0,00","$0,00","$630,00","$0,00","$315,00","$210,00","$315,00","$245,00","$1.400,00","$0,00","$35,00","$105,00","$175,00","$665,00","$1.750,00","$455,00","$70,00","$245,00","$210,00","$175,00","$735,00","$70,00","$560,00","$0,00","$455,00","$315,00","$490,00","$140,00","$280,00","$525,00","$735,00","$595,00","$70,00"
4,I7S38,Display 2D 38mm,"$42,59","$40,00","$35,35",ALERTA,SI,3,4,25,22,3,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$80,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$120,00","$160,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$360,00","$80,00","$0,00","$0,00","$80,00","$0,00"
5,ILCD35M,Display 35mm LCD,"$199,31","$170,00","$165,43",OK,,0,0,5,4,1,"$160,00","$0,00","$0,00","$310,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$170,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00"
6,ILCD28C,Display grafico a color 43x58,,"$150,00","$142,68",ALERTA-W,SI,8,4,40,32,8,"$0,00","$0,00","$0,00","$0,00","$0,00","$430,00","$0,00","$280,00","$560,00","$0,00","$0,00","$572,00","$0,00","$290,00","$150,00","$300,00","$0,00","$0,00","$292,00","$0,00","$150,00","$0,00","$0,00","$0,00","$0,00","$150,00","$0,00","$0,00","$0,00","$150,00","$150,00","$0,00","$0,00","$0,00"
7,ILCD50C,Display grafico a color 111x63mm,,"$350,00","$256,28",OK,SI,4,2,30,22,8,"$0,00","$0,00","$0,00","$0,00","$520,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$736,00","$260,00","$260,00","$240,00","$0,00","$0,00","$0,00","$480,00","$0,00","$260,00","$0,00","$490,00","$1.014,00","$0,00","$0,00","$0,00","$0,00","$260,00","$260,00","$260,00","$0,00","$0,00","$520,00"
8,CEA15+,Controlador 15,,-,"$318,87",OK,SI,4,2,23,15,8,"$0,00","$0,00","$0,00","$620,00","$320,00","$0,00","$0,00","$0,00","$900,00","$320,00","$0,00","$0,00","$0,00","$640,00","$640,00","$0,00","$0,00","$0,00","$320,00","$0,00","$0,00","$0,00","$0,00","$650,00","$0,00","$0,00","$325,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00"
9,CEA15+C,Controlador 15C,"$330,67","$280,00","$274,45",OK,SI,10,4,100,79,21,"$2.195,00","$280,00","$280,00","$1.900,00","$1.650,00","$550,00","$545,00","$810,00","$560,00","$1.915,00","$265,00","$280,00","$0,00","$270,00","$560,00","$2.785,00","$280,00","$0,00","$0,00","$560,00","$1.400,00","$560,00","$280,00","$570,00","$0,00","$825,00","$0,00","$0,00","$285,00","$280,00","$570,00","$845,00","$540,00","$0,00"
10,CEA36+,Controlador 36 ,"$575,12","$480,00","$477,35",ALERTA-W,SI,10,4,73,64,9,"$3.800,00","$954,00","$0,00","$1.440,00","$960,00","$1.420,00","$0,00","$480,00","$0,00","$1.420,00","$485,00","$1.450,00","$970,00","$950,00","$465,00","$3.310,00","$0,00","$0,00","$0,00","$1.920,00","$0,00","$1.425,00","$0,00","$2.905,00","$485,00","$970,00","$1.925,00","$960,00","$490,00","$0,00","$490,00","$960,00","$0,00","$0,00"
11,CEA36+C,Controlador 36C,"$528,29","$440,00","$438,48",OK,SI,14,8,157,134,23,"$5.585,00","$830,00","$1.280,00","$1.740,00","$820,00","$0,00","$1.320,00","$1.300,00","$860,00","$4.720,00","$420,00","$6.220,00","$3.405,00","$440,00","$3.435,00","$0,00","$0,00","$0,00","$0,00","$4.000,00","$1.290,00","$2.180,00","$445,00","$1.330,00","$1.800,00","$1.750,00","$1.325,00","$1.325,00","$450,00","$1.760,00","$1.350,00","$4.890,00","$1.780,00","$0,00"
12,CEA51FB,Controlador 51-BD,"$667,24","$560,00","$553,81",ALERTA,SI,10,6,95,89,6,"$3.306,00","$0,00","$2.780,00","$560,00","$0,00","$540,00","$2.200,00","$530,00","$3.730,00","$4.360,00","$2.800,00","$1.120,00","$0,00","$0,00","$1.105,00","$4.360,00","$3.345,00","$1.105,00","$560,00","$1.655,00","$1.650,00","$550,00","$545,00","$2.770,00","$1.665,00","$0,00","$1.130,00","$2.255,00","$1.085,00","$555,00","$555,00","$1.130,00","$0,00","$1.120,00"
13,CEA51FB-S,Controlador 51-BS,"$627,17","$520,00","$520,55",ALERTA,SI,18,10,230,227,3,"$4.000,00","$1.990,00","$2.055,00","$3.065,00","$1.010,00","$1.480,00","$2.080,00","$5.020,00","$8.040,00","$4.540,00","$2.030,00","$1.050,00","$2.070,00","$4.630,00","$3.630,00","$6.230,00","$2.100,00","$6.760,00","$4.175,00","$3.615,00","$4.680,00","$2.100,00","$2.595,00","$5.210,00","$4.180,00","$3.660,00","$3.120,00","$3.160,00","$3.715,00","$4.220,00","$3.700,00","$3.165,00","$2.670,00","$1.620,00"
14,CEA51FC+,Controlador 51-CD,"$625,54","$510,00","$519,20",ALERTA-W,SI,6,4,55,50,5,"$1.010,00","$960,00","$1.500,00","$0,00","$0,00","$1.020,00","$0,00","$510,00","$1.510,00","$2.010,00","$530,00","$0,00","$0,00","$515,00","$515,00","$2.080,00","$520,00","$1.040,00","$1.580,00","$0,00","$540,00","$1.040,00","$0,00","$3.790,00","$0,00","$1.640,00","$0,00","$0,00","$0,00","$1.070,00","$1.650,00","$550,00","$550,00","$0,00"
15,CEA51FC-S,Controlador 51-CS,,"$490,00","$484,85",ALERTA,SI,4,2,60,59,1,"$0,00","$0,00","$0,00","$0,00","$0,00","$470,00","$0,00","$980,00","$475,00","$1.490,00","$1.495,00","$500,00","$500,00","$1.520,00","$0,00","$4.060,00","$1.520,00","$0,00","$510,00","$1.020,00","$0,00","$1.020,00","$510,00","$5.090,00","$2.050,00","$0,00","$1.030,00","$0,00","$1.030,00","$1.545,00","$515,00","$0,00","$1.040,00","$1.530,00"
